记录数,address,city,closeTime,features,hasArtwork,latitude,longitude,openTime,postalCode,storeName,storeNumber,记录数
1,兰州新区出发安检内CF-37商铺中川机场T2航站楼,兰州市,1899/12/30 21:30:00,['OG'],伪,36.504707,103.618088,1899/12/30 6:00:00,730000,兰州中川机场店,52438-281554,1
1,兰州市城关区雁滩路3113号,兰州市,1899/12/30 23:00:00,"['OG', 'DL', 'PO']",伪,36.061108,103.870931,1899/12/30 7:30:00,730000,兰州市欣大百货店,56295-290190,1
1,城关区万达广场1层天水北路68号,兰州市,1899/12/30 23:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,36.063614,103.862203,1899/12/30 7:30:00,730000,兰州城关万达店,24777-238531,1
1,城关区北京华联一层南昌路892号,兰州市,1899/12/30 23:00:00,"['OG', 'DL']",伪,36.05559,103.845779,1899/12/30 7:30:00,730000,兰州平凉路BHG店,52779-282484,1
1,城关区国芳百货1F东方红广场,兰州市,1899/12/30 23:00:00,"['OG', 'DL', 'MIC']",伪,36.051879,103.844903,1899/12/30 7:30:00,730000,兰州东方红国芳百货店,25923-241626,1
1,城关区亚欧商厦一层中山路120号,兰州市,1899/12/30 23:00:00,"['OG', 'DL', 'MIC']",伪,36.059997,103.818006,1899/12/30 7:30:00,730000,兰州亚欧商厦店,47232-255726,1
1,西津西路16号,兰州市,1899/12/30 23:00:00,"['OG', 'DL', 'MIC', 'RC']",伪,36.068133,103.774313,1899/12/30 7:30:00,730000,兰州市兰州中心门店,51350-268764,1
1,兰州市七里河区柳家营1号None兰州市七里河区柳家营1号,兰州市,1899/12/30 23:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,36.070357,103.765617,1899/12/30 7:30:00,730000,兰州七里河中天健广场店,58314-291872,1
1,建华区新江路与引水街交汇万达广场01层94号8铺位号,齐齐哈尔市,1899/12/30 21:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,47.366553,123.950698,1899/12/30 9:00:00,161000,齐齐哈尔万达广场店,55196-289026,1
1,利民开发区None利民大道555号一层B12800号铺位,哈尔滨,1899/12/30 21:00:00,"['OG', 'DL', 'PO']",伪,45.876235,126.56009,1899/12/30 10:00:00,150000,哈尔滨杉杉奥莱店,54375-286626,1
1,道外区百盛商场一层东直路118号,哈尔滨,1899/12/30 21:00:00,"['OG', 'DL']",伪,45.785526,126.676954,1899/12/30 9:00:00,150000,哈尔滨道外百盛店,24778-238525,1
1,哈尔滨市松北区江北世茂大道和聚源路交叉None哈尔滨万象汇L1层L101号商铺星巴克,哈尔滨,1899/12/30 21:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,45.809549,126.538607,1899/12/30 9:00:00,150000,哈尔滨华润万象汇店,58854-293141,1
1,哈尔滨市松北区世茂大道99号,哈尔滨,1899/12/30 21:00:00,"['OG', 'DL', 'PO']",伪,45.804734,126.506161,1899/12/30 9:30:00,150000,哈尔滨万达茂咖啡店,51624-278705,1
